name,dividend_yield_ttm,country,earnings_ttm,marketcap,pe_ratio_ttm,revenue_ttm,price,gdp_per_capita_usd,gdp_growth_percent,inflation_percent,interest_rate_percent,unemployment_rate_percent,exchange_rate_to_usd,inflation,interest_rate,unemployment,pc_class
Ross Stores,2.425348317753684e-09,United States,3578028169.0,48886759473.71348,31.9074,26958881501.6,147.35491940956,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
FTAI Aviation,9.045950578795666e-09,United States,121455286.8,13087428369.05501,105.325,1756264050.1,128.04325427248,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
WESCO International,1.4406581358475605e-08,United States,1716232680.0,8148796296.557479,11.1853,28051099750.0,165.76576305134,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
Village Bank and Trust Financial,1.0568140883164033e-06,United States,3923767.0,111025959.08512436,47.3602,33596136.6,74.25690704499999,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
Pinnacle Financial Partners,1.6014271269834922e-08,United States,655812281.5,7265213793.971115,12.4414,1747186983.9,94.06524133084,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
Commercial Metals Company,1.8878211665875943e-08,United States,1001824625.9,6154763108.204019,6.71551,10402521083.1,53.52340473696,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
Franklin Electric,2.4857677669723133e-08,United States,305850608.1,4651104155.269536,25.0048,2576085957.9,101.83665271732,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
General Motors,2.3326026809334567e-09,United States,15283519800.0,49511606191.6653,6.5007,227619385200.0,44.052605772860005,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
Matson,2.4834632794118907e-08,United States,527727490.0,4641334256.300988,16.2206,4071898790.0,138.22010251668,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
Cencora,2.673832725631476e-09,United States,2971863682.0,42823043806.13722,26.1231,362764176154.4,218.47599378984,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
Cargojet,7.254000669238582e-08,Canada,69792312.03,1576161090.8701663,15.8972,848716814.2824,97.587696842732,58.0,1.9,3.4,4.5,5.0,1.35,-3.4,-4.5,-5.0,0
Paycom,1.2264952586863784e-08,United States,770871955.9,9315326920.412895,28.6838,2272833727.1,162.1965622078,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
HighPeak Energy,6.52772823187593e-08,United States,291712265.9,1745775587.9529085,6.84507,1546205758.9,13.74117978236,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
Hexcel,2.318321633982387e-08,United States,146086830.0,4903253709.656044,32.5474,2364101570.0,59.98010367084,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
KBR,1.356737693001336e-08,United States,576423100.0,8366503890.585741,-44.4546,9167811300.0,62.8824044495352,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
Veris Residential,6.503876908782829e-08,United States,12489593.2,1743806300.6211646,-21.439,356863413.4,17.12047771608,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
Cadre,7.54897791475999e-08,United States,76416320.9,1502175692.397762,47.9367,679777934.6,36.99211297186,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
Zimmer Biomet,5.304999045220138e-09,United States,1304940100.0,21371907789.908985,44.9046,9617574690.0,104.94326954976,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
EnerSys,2.8456172263881096e-08,United States,380849516.1,3979445540.317213,19.61,4506859225.8,98.88098435166,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
NAPCO Security Technologies,7.683875774586854e-08,United States,68784785.8,1463717622.4526782,45.4556,241330842.0,39.69457745776,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
Ecolab,1.5941734034864947e-09,United States,3136585210.0,70540078647.6944,58.7968,19982071020.0,247.91094481194,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
Tempur Sealy,1.22105445464574e-08,United States,608759030.0,9171680386.071856,23.8174,6225113860.0,52.81735545686,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
ChampionX,2.002413042024052e-08,United States,570983506.4,5582313045.514878,19.5484,4727373653.1,29.30347977684,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
Stryker Corporation,8.354235584767725e-10,United States,5132849600.0,133764370786.66245,52.9031,27337280900.0,351.01848623344,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
Zurn Water Solutions,1.883393606796431e-08,United States,268017570.0,5899346616.079347,54.8615,1969552100.0,34.51363653344,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
FactSet,6.532068428689425e-09,United States,896858107.2,16985070576.221785,37.4305,2761375949.2,446.50556473524,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
BWX Technologies,1.1415299843496197e-08,United States,439401833.3,9692042935.95802,44.5041,3324255023.5,106.016464455512,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
Marriott International,1.6059381519965135e-09,United States,5076613200.0,68879668511.81711,26.692,31235485900.0,244.66798742886,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
Shoe Carnival,9.519817926672753e-08,United States,132885335.1,1153936932.892522,13.1813,1576081346.4,42.46521221898001,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
Limoneira,2.383915309016008e-07,United States,10631235.8,460421322.74952805,48.5185,241656757.5,25.50542158044,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
Hibbett Sports,1.0762598535866533e-07,United States,175591768.5,1018006681.6101736,10.1145,2209690474.7,85.20310553924,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
Motorola Solutions,1.50838139404851e-09,United States,2653335600.0,72515614645.98805,43.8899,13320358200.0,434.63906752418,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
InterDigital,3.089922713143399e-08,United States,470066008.5,3519048899.102795,19.1125,936411467.9,140.034405701268,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
Endeavor Group,1.2653199157997317e-08,United States,-171214276.0,8491205975.533322,46.0484,8344288014.6,27.67713177992,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
Caleres,9.37040044954456e-08,United States,247046505.2,1143794691.775519,8.04578,3627090593.7,32.49287480074,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
Regal Rexnord,9.96118497567706e-09,United States,98030270.0,10744783705.085762,-928.778,8120152730.0,161.47590501156,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
Industrial Logistics Properties Trust,3.460398049997352e-07,United States,191266386.9,309079945.8752494,-2.87952,564783443.3,4.68427177556,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
Armstrong World Industries,1.9240720970772133e-08,United States,411164770.0,5545284759.447263,26.0608,1726713100.0,126.8940982028,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
Covenant Logistics,1.5750537004434966e-07,United States,85824415.0,676989327.9192688,12.8949,1442931444.6,51.40038759128,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
Valmont Industries,1.8694568397981363e-08,United States,411595489.7,5676590526.233228,39.5959,5218975646.6,281.4945440178,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
Royal Gold,1.1769635663893648e-08,United States,397772838.2,8998363156.210354,39.9437,785112546.1,136.8761742318,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
Zoetis,1.2363225099452571e-09,United States,3698821400.0,85649645742.26564,39.5955,11394261500.0,189.0507813785,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
Griffon Corporation,3.1896962899450534e-08,United States,476384934.9,3316067705.048561,-9.51781,3329747019.2,67.31327757312,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
Graham Holdings,3.0264660807635934e-08,United States,463837827.2,3492286386.481925,24.6013,5900059799.4,793.7357313830399,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
Arthur J. Gallagher & Co.,1.7635981770617235e-09,United States,2246516370.0,59647023238.172905,52.519,14009765340.0,272.236046768268,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
First Foundation,2.594838254222687e-07,United States,5591687.5,405061293.9321181,-1.86503,205476302.7,5.969768395879999,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
Cactus Inc,2.7715552403267143e-08,United States,396232727.7,3785729146.341369,28.1106,1440735668.8,56.50341962952,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
Barrett Business Services,1.1362830718375093e-07,United States,85185365.0,923234323.6474944,5.19915,1400085698.3,35.32194122652,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
St. Joe Company,3.1083289262736985e-08,United States,118064487.5,3342971575.552309,37.1321,495290590.1,57.245112225001606,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
ITT,8.7624145954964e-09,United States,737335890.0,11843963655.102612,28.5171,4432067370.0,144.96895977336,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
Republic Services,1.6878351123351983e-09,United States,2993438010.0,60957619733.15739,38.4903,19896438320.0,194.0905124468,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
ResMed,2.912860364221705e-09,United States,1674950050.0,35249125337.81351,38.7987,5988278095.7,239.90093746184,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
MKS Instruments,1.4273626665011616e-08,United States,430719700.0,7143291996.695713,-4.29055,4574319900.0,106.16059589476,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
Brink's,2.0604946983757628e-08,United States,649786040.0,4898295962.108515,47.8452,6342187820.0,110.97633891558,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
Columbus McKinnon,1.011212015672219e-07,United States,125860897.5,994939480.9467162,20.096,1300815671.3,34.4503355635,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
Delta Air Lines,3.098616565472879e-09,United States,8291034700.0,32011972976.99924,9.68797,76835537700.0,49.59874460068,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
Vornado Realty Trust,1.2656058472620374e-08,United States,468892712.7,7792223405.36338,-19.2475,2274407068.2,37.52286725828,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
Newmark,2.6390405304577682e-08,United States,163076613.3,3734997372.810428,172.889,3250973881.9,15.08510806724,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
Carlisle Companies,4.896918866504704e-09,United States,1521961480.0,19960040213.973618,30.577,6306656640.0,431.63470610472,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
United Rentals,1.883420845830303e-09,United States,4313587500.0,51847777811.41668,23.5238,18853253100.0,783.95816618,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
Merchants Bancorp,4.955713915056328e-08,United States,536073483.0,1969620407.7367644,8.59459,812917611.6,43.0446595592,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
Simulations Plus,1.5802979051192217e-07,United States,14847687.7,615035184.4747111,60.6923,85604581.8,30.73992486394,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
Stantec,1.068368684525055e-08,Canada,417092597.8,8942141112.313698,40.7677,6531314736.5174,78.12800482210001,58.0,1.9,3.4,4.5,5.0,1.35,-3.4,-4.5,-5.0,0
Atkore,3.2100759095277e-08,United States,863768098.2,2975800333.4586163,4.4903,4196826674.5,82.9729636752,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
PJT Partners,1.862214528111818e-08,United States,271658876.9,5129161556.743299,41.4272,1657045147.1,130.04940808904,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
Peapack-Gladstone Financial,2.050439063323831e-07,United States,59036717.1,464305361.192606,7.89706,273636097.6,26.26503321972,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
Andlauer Healthcare Group,8.67231963794755e-08,Canada,83747630.31,1097323067.6783729,22.9559,613109860.0559,27.7714989181844,58.0,1.9,3.4,4.5,5.0,1.35,-3.4,-4.5,-5.0,0
W. W. Grainger,1.9110613371244352e-09,United States,3284717000.0,49258372644.20077,28.7522,21410731200.0,1008.86164307144,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
Lennox,4.491317000202887e-09,United States,1035005380.0,20935769607.38964,39.7679,6415167330.0,587.52064854004,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
Lennar,1.90984044732721e-09,United States,6967012567.0,49199316462.01097,13.8541,45725699254.8,180.88982556162,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
Cognex,1.3911677133636245e-08,United States,115702558.7,6730162988.301576,44.2527,1078716400.0,39.242705918496,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
Visa,1.7890176126253216e-10,United States,29626358000.0,521849736532.2057,33.153,44628695800.0,267.98222158830004,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
EnPro Industries,2.8491271778060163e-08,United States,159506880.0,3271570138.254683,21.8059,1315420520.0,155.97845923754,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
Universal Display Corporation,9.736967204270978e-09,United States,338534181.3,9563060723.790504,47.2225,796462074.1,201.53081106744,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
Watts Water Technologies,1.3799288544641211e-08,United States,473024810.0,6739787291.143868,25.2139,2837382000.0,202.08591188076,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
First Internet Bancorp,3.385862787160132e-07,United States,23317656.4,274199420.8154815,24.1168,137767677.1,31.633929331708,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
Vistra,2.401088130739661e-09,United States,1468536900.0,38525289482.608185,31.8162,17973920300.0,112.13523359602,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
KLA,9.103973216670103e-10,United States,4077177343.0,101380274055.5058,34.8974,12541032890.7,756.7046639681399,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
Metalla Royalty & Streaming,3.265956176590445e-07,Canada,-7135632.3,282157470.7294547,-15.95,6115708.5,3.0676623894,58.0,1.9,3.4,4.5,5.0,1.35,-3.4,-4.5,-5.0,0
Willis Lease Finance Corporation,9.63098794314116e-08,United States,278633468.6,956378571.2720834,24.1742,626560406.8,133.91563656076002,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
News Corp,6.154403968147541e-09,United States,806481100.0,14902926301.99364,103.222,12889638500.0,27.13663888274,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
Alico,4.468525278784712e-07,United States,50896498.2,204374999.6080081,-10.5226,59288502.8,26.7901391118992,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
Vulcan Materials,2.8583673203954403e-09,United States,1813879520.0,31806068142.92244,40.2963,9688253620.0,240.84558270556,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
Oracle,1.9954380903274688e-10,United States,20475162000.0,455501302548.9742,48.6282,68780951500.0,164.37801101803998,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
Jacobs Engineering,5.726810606914293e-09,United States,1116656798.5,15784487910.401894,26.6318,21662018441.0,127.0401773642,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
S&P Global,5.77510990292901e-10,United States,6132323800.0,156254544583.18243,66.1574,16968055600.0,499.25961922216,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
Teck Resources,3.413225948138443e-09,Canada,2883368038.0,26348947821.356533,16.6147,14722133717.7654,50.55312845516,58.0,1.9,3.4,4.5,5.0,1.35,-3.4,-4.5,-5.0,0
PennyMac,1.5982706914968977e-08,United States,534316095.5,5621631977.487489,25.9226,2945762323.8,109.81744423514,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
Koppers,1.21406120775402e-07,United States,138801660.0,739568861.574168,9.34596,2715195640.0,36.04259842276,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
American Express,4.82401481640432e-10,United States,16036320700.0,185713930262.7116,25.3801,80862830800.0,261.04346142180003,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
Vestis,4.578399796420129e-08,United States,296534537.2,1939884767.3688388,13.2518,3626532064.0,14.7539953014,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
Erie Indemnity,3.237903414544937e-09,United States,854188738.7,27389497407.98984,62.6744,5121813206.5,523.80091833736,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
Sherwin-Williams,9.42280385939107e-10,United States,4213128840.0,93561227555.57095,40.5434,29406141370.0,370.89499079460006,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
Microsoft,2.820350889182868e-11,United States,137762564700.0,3102165493150.705,36.9301,313290428200.0,417.2410394014401,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
Moody's,1.03743816094944e-09,United States,3567177100.0,84301848439.77635,57.4624,8395838900.0,462.98329414116006,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
Ryan Specialty Group,5.184910070170284e-09,United States,517916794.4,16807072331.177004,100.0,2916992292.8,64.28456962676,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
AMCON Distributing Company,9.661081304354827e-07,United States,25172562.93,90118322.62580694,8.8487,3396181237.2309,142.9628059568,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
Fresnillo,1.4230175184136357e-08,Mexico,317698595.1,6081866817.527348,0.0,3109604519.0,8.05383109852,10.0,2.3,4.4,11.25,2.9,18.5,-4.4,-11.25,-2.9,0
Academy Sports,2.1380562663570257e-08,United States,990418861.5,4039777683.08072,8.47994,8083550502.2,57.457803484,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
UniFirst,2.4601985414635352e-08,United States,211663584.8,3510392411.6069174,33.8715,3015618157.4,188.59793597816,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
Amphenol,1.128879013272151e-09,United States,3355523740.0,75746013739.90254,20.1925,17117209870.0,62.89681759346,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
Ingles Markets,6.255223311930773e-08,United States,298695804.3,1360336145.5969346,6.04963,7447585176.1004,71.61774352904,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
Applied Materials,5.201259189239572e-10,United States,11078570800.0,163083920361.98697,26.8924,34322097400.0,197.773655036232,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
Heartland Express,9.15843614782878e-08,United States,-12296600.1,924966518.6570426,37.7188,1425652810.7,11.7837190196,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
Globe Life,9.31069596589224e-09,United States,1795001983.0,9072596238.717916,11.0127,6923980218.1,101.00887080272,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
Canadian Pacific Railway,1.0862749084363424e-09,Canada,4312488334.0,77668105987.50397,25.5866,13463973092.5768,82.95348645368001,58.0,1.9,3.4,4.5,5.0,1.35,-3.4,-4.5,-5.0,0
Granite Construction,2.5116306030834563e-08,United States,166790771.9,3344885765.719765,88.8876,4863527089.9,76.56495779512,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
Red River Bancshares,2.421434940542688e-07,United States,51267147.2,346919388.1012269,10.0838,134457398.1,50.37783346148,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
LeMaitre Vascular,4.174111193852502e-08,United States,63191820.2,2003250495.174872,74.561,262804200.1,89.1569815078,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
Choice Hotels International,1.3624099653192642e-08,United States,400943804.3,6104787237.849482,23.7089,1982407229.8,129.29953506052,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
Alimentation Couche-Tard,1.612572246148013e-09,Canada,4344134090.0,51285853832.31817,18.147,91918140180.0,54.0998331078444,58.0,1.9,3.4,4.5,5.0,1.35,-3.4,-4.5,-5.0,0
Standex,3.911461385143771e-08,United States,121576706.3,2114239743.5929265,15.4945,921043593.5,177.60304443012,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
Applied Industrial Technologies,9.987248004599068e-09,United States,662917239.4,8261514125.012691,23.6794,5725128808.6,214.92140086244,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
Turning Point Brands,1.1154699737522529e-07,United States,108830215.0,731531718.5590465,59.5634,516878977.2,41.29657892778,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
Friedman Industries,7.622355580020787e-07,United States,25016251.3,106937370.86164342,6.45267,630747462.4,15.34318125238,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
Lithia Motors,9.837752495498861e-09,United States,1462657640.0,8220346321.682816,8.51611,43129356690.0,307.41872586092,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
New York Times,9.060815725624131e-09,United States,451978337.3,8924496058.48594,51.7009,3187162183.2,54.3414480408,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
WSP Global,3.77847042285146e-09,Canada,994414202.1,21234080220.60204,57.1935,14026522828.625,170.298112499044,58.0,1.9,3.4,4.5,5.0,1.35,-3.4,-4.5,-5.0,0
TriMas,7.915153610995577e-08,United States,84840278.0,1010798426.8158344,20.6129,1166266250.0,24.867542575660003,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
Waste Connections,1.799837028793515e-09,United States,1786387589.0,44447537571.56852,54.904,10763099933.2,172.29063226054,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
HCA Healthcare,7.98585918681585e-10,United States,13357423100.0,100008527187.47244,19.4329,87354300700.0,387.51879936192,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
Cannae Holdings,6.80279620437571e-08,United States,-499609290.0,1173630803.442933,-113.0,628313960.0,18.70787126996,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
Allient,2.518558066778857e-07,United States,29205863.1,315527373.6516859,11.6265,727316864.1,18.73221779686,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
AZZ,3.3217087630051274e-08,United States,182683945.4,2384658121.512676,89.4457,1993738864.4,79.97834086649999,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
Ormat Technologies,1.746666706356234e-08,United States,175585378.0,4533803539.153797,49.9806,1133067602.5,74.99704146276,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
Shentel,1.0195745071003737e-07,United States,-23605228.9,772743337.8465561,-1460.0,382661861.9,14.15994004504,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
Ametek,2.0328364069213406e-09,United States,2220213072.0,38731369829.82349,30.9478,8722695081.6,167.28011702452002,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
D. R. Horton,1.288455847608464e-09,United States,8426896730.0,59929419889.18237,13.4333,47676836490.0,183.92340281336,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
AECOM,5.71591128664705e-09,United States,944227049.4,13429672008.613173,106.423,20241766880.9,100.17135027736,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
Lakeland Industries,5.210394693908663e-07,United States,5957224.1,145866033.85123956,27.6438,176042937.8,19.720686789,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
Evertec,3.588479342501976e-08,United States,87088455.9,2101285427.978146,22.7517,1003455481.5,32.8434647881,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
Frontera Energy,1.602434524577002e-07,Canada,211864246.5,469664511.8768064,1.68981,1509749234.5,5.57870474220144,58.0,1.9,3.4,4.5,5.0,1.35,-3.4,-4.5,-5.0,0
MGP Ingredients,4.1687817063019913e-08,United States,162653562.2,1780981055.394739,18.5685,1006989428.0,80.99602569091999,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
Tecnoglass,2.3743860260743773e-08,Colombia,267971558.4,3123219153.7365904,16.2209,1045009068.7,66.45627982623999,7.5,1.3,5.0,13.25,10.5,4200.0,-5.0,-13.25,-10.5,0
Associated Capital Group,1.0142978655164385e-07,United States,55413303.6,722525575.9824162,42.0241,17180220.2,33.96827433088,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,1
Helios Technologies,4.81189412616262e-08,United States,92662250.0,1521004338.0228465,22.346,1056605270.0,45.78607848814,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
Brookfield Corporation,9.187991675467995e-10,Canada,26542302700.0,78163787002.27974,533.9,121312139600.0,51.69254591408,58.0,1.9,3.4,4.5,5.0,1.35,-3.4,-4.5,-5.0,0
U.S. Steel,9.332272280039036e-09,United States,797534400.0,7689768607.962201,7.01181,21539819300.0,34.1825237676,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
Silvercorp Metals,7.423946352476954e-08,Canada,110191391.5,964684967.3974977,42.1818,290570922.6,4.44567581194,58.0,1.9,3.4,4.5,5.0,1.35,-3.4,-4.5,-5.0,0
Eli Lilly,9.233340442934143e-11,United States,11489224330.0,766392926453.3099,161.677,49747230680.0,850.2099351802801,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
Hub Group,2.588212244883108e-08,United States,183393290.9,2732490009.651201,6.66372,5107090772.6,43.950350359880005,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
Verisk Analytics,1.9349447588873776e-09,United States,1483362860.0,36495057208.04413,77.4927,3547494360.0,256.24232631712,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
Woodward,7.153971648554445e-09,United States,634829713.8,9849073344.348154,50.15,4149774701.1,165.08892960352,76.0,2.6,2.5,4.875,3.7,1.0,-2.5,-4.875,-3.7,2
